election_id,candidate_name,pact_label,votes,vote_share,is_winner
1,Sebastián Arellano,IND (  PSC ) - Partido Social Cristiano e Independientes,2806,2.15,0
1,Gerardo Espíndola,PL - Contigo Chile Mejor,27079,20.79,0
1,Rayko Karmelic,PDG - Partido de la Gente e Independientes,8247,6.33,0
1,Stephanie Jeldrez,REP - Republicanos e Independientes,24654,18.92,0
1,Raúl Gil,UDI - Chile Vamos,6991,5.37,0
1,Orlando Vargas,IND - Independiente fuera de pacto,41666,31.98,1
1,José Lee,IND - Independiente fuera de pacto,7305,5.61,0
1,Jorge Guillén,IND - Independiente fuera de pacto,4356,3.34,0
1,Esteban Romero,IND - Independiente fuera de pacto,2748,2.11,0
1,Daniel Chipana,IND - Independiente fuera de pacto,4429,3.4,0
2,Cristián Zavala,DC - Contigo Chile Mejor,1662,100.0,0
3,Rolando Manzano,IND (  PL ) - Contigo Chile Mejor,21,2.29,0
3,Verónica Mita,PDG - Partido de la Gente e Independientes,144,15.72,0
3,Ignacio Flores,IND (  DEM ) - Centro Democrático,54,5.9,0
3,Álex Castillo,REP - Republicanos e Independientes,281,30.68,1
3,Gregorio Mendoza,RN - Chile Vamos,221,24.13,0
3,Christian Mamani,IND - Independiente fuera de pacto,13,1.42,0
3,Russel Aquino,IND - Independiente fuera de pacto,155,16.92,0
3,Luis Chambilla,IND - Independiente fuera de pacto,27,2.95,0
4,José Sarco,PH - Izquierda Ecologista Popular,394,12.24,0
4,Ángelo Carrasco,PPD - Contigo Chile Mejor,461,14.33,0
4,Fabián Hilaja,IND (  DEM ) - Centro Democrático,866,26.91,0
4,Javier Tito,IND (  UDI ) - Chile Vamos,1497,46.52,1
5,Fernando Ortega,PSC - Partido Social Cristiano e Independientes,5837,11.42,0
5,Patricio Ferreira,DC - Contigo Chile Mejor,20946,40.98,1
5,Ramón Galleguillos,RN - Chile Vamos,18557,36.31,0
5,Tanya Precilla,IND - Independiente fuera de pacto,5773,11.29,0
6,Sandra Challapa,PSC - Partido Social Cristiano e Independientes,877,37.11,0
6,Mónica Chamaca,IND (  UDI ) - Chile Vamos,489,20.69,0
6,Evelyn Mamani,IND - Independiente fuera de pacto,997,42.19,1
7,Kiara Aliaga,PS - Contigo Chile Mejor,15,0.72,0
7,Juan Choque,IND (  PDG ) - Partido de la Gente e Independientes,235,11.35,0
7,Javier García,DEM - Centro Democrático,691,33.37,0
7,Teófilo Mamani,IND - Independiente fuera de pacto,746,36.02,1
