csv_row_id,commune_name,commune_code,office,election_date
1,Algarrobo,56001,Alcalde,2024-10-27
2,Alhué,13502,Alcalde,2024-10-27
3,Alto Biobío,81301,Alcalde,2024-10-27
4,Alto Hospicio,21102,Alcalde,2024-10-27
5,Alto del Carmen,31302,Alcalde,2024-10-27
6,Ancud,10117,Alcalde,2024-10-27
7,Andacollo,41103,Alcalde,2024-10-27
8,Angol,91201,Alcalde,2024-10-27
9,Antofagasta,22101,Alcalde,2024-10-27
10,Antuco,81302,Alcalde,2024-10-27
11,Arauco,81201,Alcalde,2024-10-27
12,Arica,15101,Alcalde,2024-10-27
13,Aysén,11103,Alcalde,2024-10-27
14,Buin,13402,Alcalde,2024-10-27
15,Bulnes,16101,Alcalde,2024-10-27
16,Cabildo,54002,Alcalde,2024-10-27
17,Cabrero,81303,Alcalde,2024-10-27
18,Calama,22201,Alcalde,2024-10-27
19,Calbuco,10102,Alcalde,2024-10-27
20,Caldera,31102,Alcalde,2024-10-27
21,Calera de Tango,13403,Alcalde,2024-10-27
22,Calle Larga,53001,Alcalde,2024-10-27
23,Camarones,15102,Alcalde,2024-10-27
24,Camiña,21202,Alcalde,2024-10-27
25,Canela,41202,Alcalde,2024-10-27
26,Carahue,91102,Alcalde,2024-10-27
27,Cartagena,56002,Alcalde,2024-10-27
28,Casablanca,51002,Alcalde,2024-10-27
29,Castro,10118,Alcalde,2024-10-27
30,Catemu,57001,Alcalde,2024-10-27
31,Cauquenes,71401,Alcalde,2024-10-27
32,Cañete,81202,Alcalde,2024-10-27
33,Cerrillos,13102,Alcalde,2024-10-27
34,Cerro Navia,13103,Alcalde,2024-10-27
35,Chaitén,10127,Alcalde,2024-10-27
36,Chanco,71402,Alcalde,2024-10-27
37,Chañaral,31201,Alcalde,2024-10-27
38,Chiguayante,81103,Alcalde,2024-10-27
39,Chile Chico,11109,Alcalde,2024-10-27
40,Chillán,16102,Alcalde,2024-10-27
41,Chillán Viejo,16103,Alcalde,2024-10-27
42,Chimbarongo,61303,Alcalde,2024-10-27
43,Chonchi,10119,Alcalde,2024-10-27
