election_id,valid_votes,blank_votes,null_votes,padron,votantes,participation_pct
1,130281,6040,11674,185158,147995,79.93
2,1662,225,214,2746,2101,76.51
3,916,5,15,1526,936,61.34
4,3218,38,44,4831,3300,68.31
5,51113,2470,3837,68737,57420,83.54
6,2363,23,18,2979,2404,80.7
7,2071,14,18,2744,2103,76.64
8,2896,48,66,4140,3010,72.71
9,114663,5009,8804,165299,128476,77.72
10,5167,64,138,6291,5369,85.34
11,9095,267,395,12477,9757,78.2
12,212954,12988,23239,303021,249181,82.23
13,93116,3869,8837,132534,105822,79.85
14,3181,63,114,5114,3358,65.66
15,8308,218,354,10640,8880,83.46
16,1032,11,14,1420,1057,74.44
17,6076,170,287,8210,6533,79.57
18,1472,23,36,1990,1531,76.93
19,7865,149,214,10304,8228,79.85
20,15382,469,1176,21485,17027,79.25
21,4019,103,152,4958,4274,86.2
22,13021,301,552,16260,13874,85.33
23,8678,266,452,11442,9396,82.12
24,98028,4249,6429,127747,108706,85.09
25,7636,249,464,11568,8349,72.17
26,5201,133,156,6324,5490,86.81
27,6826,183,379,8723,7388,84.7
28,9818,413,531,12555,10762,85.72
29,34680,1559,2945,46140,39184,84.92
30,9307,265,388,11308,9960,88.08
31,7774,161,145,9458,8080,85.43
32,9683,267,350,12346,10300,83.43
33,142564,7737,12234,189298,162535,85.86
34,22849,549,709,28227,24107,85.4
35,4159,87,142,5035,4388,87.15
36,143598,9300,14954,197784,167852,84.87
37,15481,533,713,19646,16727,85.14
38,22161,774,802,28023,23737,84.71
39,71919,4482,6375,95605,82776,86.58
40,4297,87,144,5294,4528,85.53
41,9002,336,427,11201,9765,87.18
42,3843,84,105,4789,4032,84.19
43,19428,666,878,24477,20972,85.68
44,20381,664,821,24889,21866,87.85
45,14043,392,970,17528,15405,87.89
46,15091,444,631,18011,16166,89.76
47,35740,1296,2082,44977,39118,86.97
48,10439,295,493,12352,11227,90.89
49,16793,740,1535,21890,19068,87.11
50,20702,534,972,24730,22208,89.8
51,10806,281,358,12411,11445,92.22
52,37354,1213,1794,46527,40361,86.75
53,14112,366,895,17571,15373,87.49
54,13254,392,1092,16533,14738,89.14
55,14080,348,661,16384,15089,92.1
56,4730,47,133,6821,4910,71.98
57,608,9,10,902,627,69.51
58,15706,324,659,18480,16689,90.31
59,26916,981,1267,32327,29164,90.22
