csv_row_id,commune_name,commune_code,office,election_date,wp_election_id
1,Algarrobo,56001,Alcalde,2024-10-27,190
2,Alhué,13502,Alcalde,2024-10-27,94
3,Alto Biobío,81301,Alcalde,2024-10-27,364
4,Alto Hospicio,21102,Alcalde,2024-10-27,150
5,Alto del Carmen,31302,Alcalde,2024-10-27,166
6,Ancud,10117,Alcalde,2024-10-27,441
7,Andacollo,41103,Alcalde,2024-10-27,175
8,Angol,91201,Alcalde,2024-10-27,397
9,Antofagasta,22101,Alcalde,2024-10-27,157
10,Antuco,81302,Alcalde,2024-10-27,365
11,Arauco,81201,Alcalde,2024-10-27,366
12,Arica,15101,Alcalde,2024-10-27,146
13,Aysén,11103,Alcalde,2024-10-27,471
14,Buin,13402,Alcalde,2024-10-27,95
15,Bulnes,16101,Alcalde,2024-10-27,343
16,Cabildo,54002,Alcalde,2024-10-27,191
17,Cabrero,81303,Alcalde,2024-10-27,367
18,Calama,22201,Alcalde,2024-10-27,158
19,Calbuco,10102,Alcalde,2024-10-27,442
20,Caldera,31102,Alcalde,2024-10-27,167
21,Calera de Tango,13403,Alcalde,2024-10-27,96
22,Calle Larga,53001,Alcalde,2024-10-27,193
23,Camarones,15102,Alcalde,2024-10-27,147
24,Camiña,21202,Alcalde,2024-10-27,151
25,Canela,41202,Alcalde,2024-10-27,176
26,Carahue,91102,Alcalde,2024-10-27,398
27,Cartagena,56002,Alcalde,2024-10-27,194
28,Casablanca,51002,Alcalde,2024-10-27,195
29,Castro,10118,Alcalde,2024-10-27,443
30,Catemu,57001,Alcalde,2024-10-27,196
31,Cauquenes,71401,Alcalde,2024-10-27,313
32,Cañete,81202,Alcalde,2024-10-27,368
33,Cerrillos,13102,Alcalde,2024-10-27,97
34,Cerro Navia,13103,Alcalde,2024-10-27,98
35,Chaitén,10127,Alcalde,2024-10-27,444
36,Chanco,71402,Alcalde,2024-10-27,314
37,Chañaral,31201,Alcalde,2024-10-27,168
38,Chiguayante,81103,Alcalde,2024-10-27,369
39,Chile Chico,11109,Alcalde,2024-10-27,472
40,Chillán,16102,Alcalde,2024-10-27,344
41,Chillán Viejo,16103,Alcalde,2024-10-27,345
42,Chimbarongo,61303,Alcalde,2024-10-27,281
43,Chonchi,10119,Alcalde,2024-10-27,445
44,Chépica,61302,Alcalde,2024-10-27,280
45,Cisnes,11104,Alcalde,2024-10-27,473
46,Cobquecura,16115,Alcalde,2024-10-27,346
47,Cochamó,10103,Alcalde,2024-10-27,446
48,Cochrane,11106,Alcalde,2024-10-27,474
49,Codegua,61102,Alcalde,2024-10-27,282
50,Coelemu,16116,Alcalde,2024-10-27,347
51,Coihueco,16110,Alcalde,2024-10-27,348
52,Coinco,61103,Alcalde,2024-10-27,283
53,Colbún,71302,Alcalde,2024-10-27,315
54,Colchane,21203,Alcalde,2024-10-27,152
55,Colina,13301,Alcalde,2024-10-27,99
56,Collipulli,91202,Alcalde,2024-10-27,400
57,Coltauco,61104,Alcalde,2024-10-27,284
58,Combarbalá,41302,Alcalde,2024-10-27,177
59,Concepción,81101,Alcalde,2024-10-27,370
60,Conchalí,13104,Alcalde,2024-10-27,100
61,Concón,51003,Alcalde,2024-10-27,197
62,Constitución,71102,Alcalde,2024-10-27,316
63,Contulmo,81203,Alcalde,2024-10-27,371
64,Copiapó,31101,Alcalde,2024-10-27,169
65,Coquimbo,41102,Alcalde,2024-10-27,178
66,Coronel,81102,Alcalde,2024-10-27,372
67,Corral,14102,Alcalde,2024-10-27,429
68,Coyhaique,11101,Alcalde,2024-10-27,475
69,Cunco,91103,Alcalde,2024-10-27,401
70,Curacautín,91203,Alcalde,2024-10-27,402
71,Curacaví,13405,Alcalde,2024-10-27,101
72,Curaco de Vélez,10120,Alcalde,2024-10-27,447
73,Curanilahue,81204,Alcalde,2024-10-27,373
74,Curarrehue,91104,Alcalde,2024-10-27,403
75,Curepto,71103,Alcalde,2024-10-27,317
76,Curicó,71201,Alcalde,2024-10-27,318
77,Dalcahue,10121,Alcalde,2024-10-27,448
78,Diego de Almagro,31202,Alcalde,2024-10-27,170
79,Doñihue,61105,Alcalde,2024-10-27,285
80,El Bosque,13105,Alcalde,2024-10-27,102
81,El Carmen,16104,Alcalde,2024-10-27,349
82,El Monte,13603,Alcalde,2024-10-27,103
83,El Quisco,56003,Alcalde,2024-10-27,198
84,El Tabo,56004,Alcalde,2024-10-27,199
85,Empedrado,71104,Alcalde,2024-10-27,319
86,Ercilla,91204,Alcalde,2024-10-27,404
87,Estación Central,13106,Alcalde,2024-10-27,104
88,Florida,81104,Alcalde,2024-10-27,374
89,Freire,91105,Alcalde,2024-10-27,405
90,Freirina,31303,Alcalde,2024-10-27,171
91,Fresia,10104,Alcalde,2024-10-27,449
92,Frutillar,10105,Alcalde,2024-10-27,450
93,Futaleufú,10128,Alcalde,2024-10-27,451
94,Futrono,14110,Alcalde,2024-10-27,430
95,Galvarino,91106,Alcalde,2024-10-27,406
96,General Lagos,15202,Alcalde,2024-10-27,148
97,Gorbea,91107,Alcalde,2024-10-27,407
98,Graneros,61106,Alcalde,2024-10-27,286
99,Guaitecas,11105,Alcalde,2024-10-27,476
100,Hijuelas,55001,Alcalde,2024-10-27,200
101,Hualaihué,10129,Alcalde,2024-10-27,452
102,Hualañé,71202,Alcalde,2024-10-27,320
103,Hualpén,81112,Alcalde,2024-10-27,375
104,Hualqui,81105,Alcalde,2024-10-27,376
105,Huara,21204,Alcalde,2024-10-27,153
106,Huasco,31304,Alcalde,2024-10-27,172
107,Huechuraba,13107,Alcalde,2024-10-27,105
108,Illapel,41201,Alcalde,2024-10-27,179
109,Independencia,13108,Alcalde,2024-10-27,106
110,Iquique,21101,Alcalde,2024-10-27,154
111,Isla de Maipo,13406,Alcalde,2024-10-27,107
112,Isla de Pascua,52001,Alcalde,2024-10-27,201
113,Juan Fernández,51004,Alcalde,2024-10-27,202
114,La Cisterna,13109,Alcalde,2024-10-27,108
115,La Cruz,55003,Alcalde,2024-10-27,203
116,La Estrella,61202,Alcalde,2024-10-27,287
117,La Florida,13110,Alcalde,2024-10-27,109
118,La Granja,13111,Alcalde,2024-10-27,110
119,La Higuera,41104,Alcalde,2024-10-27,180
120,La Ligua,54001,Alcalde,2024-10-27,204
121,La Pintana,13112,Alcalde,2024-10-27,111
122,La Reina,13113,Alcalde,2024-10-27,112
123,La Serena,41101,Alcalde,2024-10-27,181
124,La Unión,14109,Alcalde,2024-10-27,431
125,Lago Ranco,14111,Alcalde,2024-10-27,432
126,Lago Verde,11102,Alcalde,2024-10-27,477
127,Laguna Blanca,12102,Alcalde,2024-10-27,482
128,Laja,81304,Alcalde,2024-10-27,377
129,Lampa,13302,Alcalde,2024-10-27,113
130,Lanco,14103,Alcalde,2024-10-27,433
131,Las Cabras,61107,Alcalde,2024-10-27,288
132,Las Condes,13114,Alcalde,2024-10-27,114
133,Lautaro,91108,Alcalde,2024-10-27,408
134,Lebu,81205,Alcalde,2024-10-27,378
135,Licantén,71203,Alcalde,2024-10-27,321
136,Limache,58001,Alcalde,2024-10-27,205
137,Linares,71301,Alcalde,2024-10-27,322
138,Litueche,61203,Alcalde,2024-10-27,289
139,Llanquihue,10107,Alcalde,2024-10-27,453
140,Lo Barnechea,13115,Alcalde,2024-10-27,115
141,Lo Espejo,13116,Alcalde,2024-10-27,116
142,Lo Prado,13117,Alcalde,2024-10-27,117
143,Lolol,61304,Alcalde,2024-10-27,290
