pact_label,party_id
AH - Contigo Chile Mejor,40
AMA - Centro Democrático,61
AVP - Ecologistas,465
DC - Contigo Chile Mejor,33
DEM - Centro Democrático,61
EVO - Chile Vamos,3
FA - Contigo Chile Mejor,32
FRVS - Contigo Chile Mejor,38
IND (  AH ) - Contigo Chile Mejor,40
IND (  AMA ) - Centro Democrático,61
IND (  AVP ) - Ecologistas,465
IND (  DC ) - Contigo Chile Mejor,33
IND (  DEM ) - Centro Democrático,61
IND (  EVO ) - Chile Vamos,3
IND (  FA ) - Contigo Chile Mejor,32
IND (  FRVS ) - Contigo Chile Mejor,38
IND (  PC ) - Contigo Chile Mejor,34
IND (  PDG ) - Partido de la Gente e Independientes,50
IND (  PH ) - Izquierda Ecologista Popular,67
IND (  PI ) - Izquierda Ecologista Popular,67
IND (  PL ) - Contigo Chile Mejor,31
IND (  PP ) - Izquierda Ecologista Popular,67
IND (  PPD ) - Contigo Chile Mejor,29
IND (  PR ) - Contigo Chile Mejor,30
IND (  PS ) - Contigo Chile Mejor,28
IND (  PSC ) - Partido Social Cristiano e Independientes,48
IND (  PTR ) - Izquierda de Trabajadores e Independientes,100
IND (  REP ) - Republicanos e Independientes,51
IND (  RN ) - Chile Vamos,2
IND (  UDI ) - Chile Vamos,1
IND - Contigo Chile Mejor,49
IND - Independiente fuera de pacto,53
PC - Contigo Chile Mejor,34
PDG - Partido de la Gente e Independientes,50
PH - Izquierda Ecologista Popular,67
PI - Izquierda Ecologista Popular,67
PL - Contigo Chile Mejor,31
PP - Izquierda Ecologista Popular,67
PPD - Contigo Chile Mejor,29
PR - Contigo Chile Mejor,30
PS - Contigo Chile Mejor,28
PSC - Partido Social Cristiano e Independientes,48
REP - Republicanos e Independientes,51
RN - Chile Vamos,2
UDI - Chile Vamos,1
